Name,Redshift,[CII] e-17W/m^2,E[CII],F100_Jy,E100_Jy,F160_Jy,E160_Jy,F157_Jy,E157_Jy,F63_Jy,E63_Jy,F145_Jy,E145_Jy,F52_Jy,E52_Jy,F57_Jy,E57_Jy,F122_Jy,E122_Jy,F79_Jy,E79_Jy,F250_Jy,E250_Jy,F350_Jy,E350_Jy,F500_Jy,E500_Jy,F60_Jy,E60_Jy,F100_Jy,E100_Jy,F850_Jy,E850_Jy,F450_Jy,E450_Jy,F25_Jy,E25_Jy,F120_Jy,E120_Jy,F150_Jy,E150_Jy,F180_Jy,E180_Jy,F200_Jy,E200_Jy,F158_Jy,E158_Jy,F170_Jy,E170_Jy,F63_H_Jy,E63_H_Jy,F88_Jy,E88_Jy,F1300_Jy,E1300_Jy,F2000_Jy,E2000_Jy,Pred870
IRAS20414-1651,0.087084,9.13,0.46,,,,,2.36,0.19,3.47,0.85,2.72,0.26,2.49,0.63,3.51,0.48,4.1,0.07,5.56,0.42,1.3151,0.0047,0.5192,0.004,0.1681,0.0051,4.364,0.262,5.247,0.367,,,,,0.346,0.062,3.6,1.08,2.56,0.77,1.54,0.46,,,,,,,,,,,,,,,0.018491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS20551-4250,0.042996,45.2,1.6,10.57075382,0.582736212,5.764296436,0.286133782,5.47,0.08,12.32,0.06,6,0.7,,,,,7.7,0.7,,,1.6291,0.0053,0.5557,0.0039,0.1702,0.0047,12.19,0.032,10.31,0.065,,,,,1.87,0.031,7,0.3,4.4,0.2,2.1,0.1,1,0.3,5.4,0.8,4.63,1.3,,,,,,,,,0.018722
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS22491-1808,0.0778,15.5,0.5,4.996060958,0.275583178,2.716481411,0.138431534,1.91,0.03,5.68,0.07,,,,,,,,,,,0.8619,0.004,0.3045,0.0039,0.0965,0.0046,5.54,0.036,4.64,0.095,0.019,0.0057,,,0.56,0.074,3.55,1.07,2.7,0.81,1.95,0.59,1.7,0.51,3.3,1,,,,,,,,,,,0.010615
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS23128-5919,0.0446,18,0.6,11.18569587,0.620989617,6.093007978,0.306663029,4.09,0.03,7.87,0.08,4.6,0.5,10.9,1,9,1.1,6,0.7,,,1.5649,0.0078,0.5562,0.0061,0.1763,0.0073,10.94,0.037,10.68,0.1,,,,,1.64,0.026,11.4,0.6,7.95,0.25,4.31,0.18,2.8,0.3,6.1,1.3,5.7,0.8,,,,,,,,,0.019393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS23230-6926,0.10659,9.99,0.2,,,,,1.4,0.18,3.83,0.69,1.81,0.12,3.32,0.62,3.49,0.4,2.3,0.09,4.04,0.27,0.6165,0.0043,0.2039,0.0036,0.0638,0.0045,3.74,0.15,3.42,0.21,,,,,0.295,0.024,4.1,1.23,3,0.9,2,0.6,1.7,0.51,,,,,,,,,0.01,0.003,,,0.007018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
