F10290+6517   158.14522   65.04109   1     0.120     0.083     0.868     3.083  2  2  3  2      14.95   13.50   12.85   12.50   12.29   11.23   10.57   10.31    0.01    0.00    0.00    0.00    0.00    0.02    0.03    0.04   1         7.60000    1.00000   0.005624   5   0.013832   0.002393   0.013910   0.005624  5  0.00      0.603   1  -20.26   10.36    1.0000  0.0000  0.0000  0.0000    9.38    6.11    6.04    7.54       9.38    1        0.841  -1.07  -1.04  -0.06   0.43   0.50   0.54   0.54   0.49   0.17  -0.19  -0.66  -1.44  -2.04  -2.20   1     158.12950  65.03790    1335.25     138.00     126.23      41.87     258.72      63.08     580.75     108.88 143.26814  46.22544       0.442   G      GALAXY NGC 3259                    587725817482575888       10323481+6502277
F12493+7154   192.80000   71.63679   2     0.271     0.410     4.670    11.960  3  3  3  2       0.00    0.00    0.00    0.00    0.00   10.78    9.92    9.52    0.00    0.00    0.00    0.00    0.00    0.01    0.02    0.02   1        33.50000    1.60000   0.005634   5   0.013779   0.001316   0.023290   0.005634  3  0.00      5.643   1  -19.58   10.23    0.7000  0.3000  0.0000  0.0000    9.96    9.32    6.77    8.27      10.05    1        1.904  -0.42  -0.20   0.67   1.06   1.12   1.15   1.14   1.09   0.76   0.40  -0.07  -0.85  -1.46  -1.61   1     192.82506  71.63010    2429.23     108.78      68.28      47.79     206.57      48.57     634.49      83.05 122.94740  45.49814       0.621   G             NGC 4749                  -9223372036854775808       12511200+7138124
F04062+8542    65.63721   85.83803   2     0.079     0.084     0.229     5.938  1  1  3  1       0.00    0.00    0.00    0.00    0.00   12.99   12.05   11.58    0.00    0.00    0.00    0.00    0.00    0.08    0.09    0.10   1         0.00000    0.00000   0.005691   5   0.030551   0.011578   0.066600   0.005691  2  0.00      3.597   1  -17.21    9.33    0.0000  1.0000  0.0000  0.0000    5.81    8.54    5.47    6.97       8.54    5       99.000  -2.00  -1.34  -0.64  -0.63  -0.66  -0.70  -0.85  -0.96  -1.43  -1.86  -2.37  -3.18  -3.81  -3.97   1      65.84783  85.80967   42057.11    4366.81     695.01     135.38    3689.84     413.81   14704.55    1558.73 126.60999  24.55821       1.933   G             2MASX J04223292+8550169   -9223372036854775808       04223292+8550169
F11246+5709   171.88287   56.87671   2     0.969     1.456    12.780    30.750  3  3  3  2       0.00    0.00    0.00    0.00    0.00    9.88    9.10    8.73    0.00    0.00    0.00    0.00    0.00    0.02    0.02    0.02   1       126.60000    4.70000   0.005724   5   0.000000   0.000000   0.013910   0.005724  3  0.00      1.639   0  -20.52   10.61    0.6500  0.3500  0.0000  0.0000   10.37    9.83    7.22    8.72      10.48    1        0.337   0.00   0.25   1.11   1.48   1.54   1.57   1.55   1.50   1.17   0.80   0.34  -0.44  -1.05  -1.20   1     171.88115  56.87877    5712.30     119.94      85.18      50.46     367.67      66.22    1579.93      78.92 143.81509  56.71597       0.136   G             NGC 3683                  -9223372036854775808       11273188+5652361
F13469+6820   207.06961   68.08501   2     0.141     0.170     1.631     5.587  3  3  3  2       0.00    0.00    0.00    0.00    0.00   11.02   10.16    9.77    0.00    0.00    0.00    0.00    0.00    0.02    0.02    0.03   1        14.30000    1.10000   0.005941   5   0.000000   0.000000   0.028020   0.005941  2  0.00      3.864   0  -19.28   10.16    0.9500  0.0500  0.0000  0.0000    9.68    8.13    6.36    7.86       9.69    1        0.082  -0.81  -0.74   0.21   0.69   0.76   0.79   0.79   0.75   0.43   0.06  -0.40  -1.18  -1.79  -1.94   1     207.07809  68.08566    2327.67      91.29      40.71      33.25     246.34      41.25     713.66      63.31 115.03278  48.16095       0.194   G             UGC 08737                 -9223372036854775808       13481670+6805060
F14004+5603   210.54916   55.81403   1     0.049     0.080     0.326     1.482  1  1  3  2      14.88   13.06   12.25   11.84   11.51   10.10    9.42    9.16    0.01    0.00    0.00    0.00    0.00    0.01    0.02    0.03   1         3.50000    0.50000   0.006014   5   0.000000   0.000000   0.004620   0.006014  4  0.00      0.531   0  -20.73   10.61    1.0000  0.0000  0.0000  0.0000    9.01    5.74    5.67    7.17       9.01    1        0.922  -1.50  -1.46  -0.49   0.01   0.07   0.11   0.11   0.07  -0.25  -0.62  -1.08  -1.86  -2.47  -2.62   1     210.53130  55.79348    1028.59      95.23      13.91      36.29     211.05      62.79     466.15      63.41 103.79444  58.63042       1.372   G      GALAXY NGC 5443                    587735697523671062       14021182+5548505
F08322+2838   128.82237   28.47352   2     0.195     0.258     2.245     5.768  3  2  3  2       0.00    0.00    0.00    0.00    0.00   10.47    9.80    9.52    0.00    0.00    0.00    0.00    0.00    0.02    0.03    0.03   1        15.20000    1.40000   0.007122   5   0.015388   0.005035   0.004620   0.007122  6  0.00      0.362   3  -20.91   10.77    0.7500  0.2500  0.0000  0.0000    9.87    9.12    6.66    8.16       9.94    1        0.234  -0.72  -0.53   0.35   0.77   0.82   0.86   0.85   0.80   0.48   0.11  -0.36  -1.14  -1.74  -1.90   1     128.81757  28.47498    2119.84     139.15      65.32      57.57     254.29      75.07     644.88      70.01 195.45273  34.04436       0.268   G             NGC 2608                  -9223372036854775808       08351736+2828246
F11113+4835   168.54539   48.31852   1     0.529     0.721     6.342    18.410  3  3  3  2      14.55   12.91   12.08   11.63   11.21    9.53    8.85    8.53    0.00    0.00    0.00    0.00    0.00    0.02    0.02    0.02   1        59.20000    2.40000   0.007125   5   0.009000   0.001137   0.004620   0.007125  6  0.00      0.039   1  -21.85   11.15    0.8000  0.2000  0.0000  0.0000   10.35    9.48    7.11    8.61      10.41    1        0.098  -0.26  -0.10   0.80   1.23   1.29   1.33   1.32   1.28   0.95   0.58   0.12  -0.66  -1.27  -1.42   1     168.54259  48.31888    4926.63     138.62      67.87      33.28     301.49      54.59    1314.75      85.01 158.11832  61.62754       0.114   G      GALAXY NGC 3583                    587732482744975451       11141097+4819061
F08425+7416   132.01936   74.09879   2     0.668     2.301    15.870    26.250  3  3  3  2       0.00    0.00    0.00    0.00    0.00   10.13    9.37    9.06    0.00    0.00    0.00    0.00    0.00    0.02    0.03    0.03   1        79.50000    3.20000   0.007205   5   0.011827   0.001087   0.013910   0.007205  3  0.00      0.130   1  -20.77   10.71    0.2000  0.8000  0.0000  0.0000   10.16   10.49    7.52    9.02      10.65    2        0.765  -0.07   0.46   1.20   1.36   1.37   1.37   1.31   1.24   0.88   0.49   0.02  -0.77  -1.38  -1.53   1     132.02313  74.10535    4493.33     275.37      72.81      35.84     309.96      60.87    1020.43     100.30 139.67210  33.87109       0.398   G             NGC 2633                  -9223372036854775808       08480464+7405556
F13527+4133   208.72301   41.30996   1     0.150     0.145     0.854     3.064  1  1  3  2      17.23   16.60   15.84   15.61   15.30   11.07   10.43   10.17    0.03    0.01    0.01    0.01    0.02    0.02    0.03    0.04   1         5.20000    0.60000   0.007255   5   0.000000   0.000000   0.013910   0.007255  5  0.00      0.288   0  -20.97   10.64    1.0000  0.0000  0.0000  0.0000    9.59    6.32    6.25    7.75       9.59    1        0.007  -1.08  -1.04  -0.07   0.43   0.49   0.53   0.53   0.49   0.17  -0.20  -0.66  -1.44  -2.04  -2.20   1     208.72266  41.30995    1357.24      80.51      64.93      37.36     308.51      62.86     633.13      78.24  84.42313  70.74578       0.016   G      GALAXY NGC 5362                    588017625089310802       13545329+4118487
F19208+6102   290.37839   61.14483   2     0.300     0.351     3.820    10.510  3  3  3  2       0.00    0.00    0.00    0.00    0.00   10.33    9.55    9.23    0.00    0.00    0.00    0.00    0.00    0.01    0.01    0.02   1        26.70000    1.50000   0.007302   5   0.000000   0.000000   0.018590   0.007302  3  0.00      0.324   0  -20.60   10.64    0.8500  0.1500  0.0000  0.0000   10.18    9.15    6.91    8.41      10.22    1        0.748  -0.47  -0.34   0.58   1.03   1.09   1.13   1.12   1.08   0.76   0.39  -0.08  -0.85  -1.46  -1.61   1     290.37875  61.14563    3230.37     204.30      65.82      38.74     206.15      46.11     877.67      89.30  92.31023  20.07009       0.049   G             NGC 6796                  -9223372036854775808       19213081+6108413
F13405+6101   205.56700   60.77692   1     0.065     0.066     0.150     1.201  1  1  3  1      15.90   14.42   13.74   13.36   13.06   11.91   11.20   10.93    0.01    0.00    0.00    0.00    0.01    0.03    0.04    0.06   1         0.00000    0.00000   0.007322   5   0.020745   0.004019   0.009250   0.007322  4  0.00      0.067   1  -19.35   10.05    0.0000  1.0000  0.0000  0.0000    5.85    8.57    5.51    7.00       8.57    5       99.000  -2.19  -1.52  -0.82  -0.82  -0.85  -0.88  -1.03  -1.15  -1.61  -2.04  -2.55  -3.36  -3.99  -4.15   1     205.57553  60.77630     855.96     120.33      24.49      38.96     183.78      51.56     461.27      89.03 112.06010  55.26535       0.253   G      GALAXY UGC 08684                   588011123581059191       13421591+6046363
