# Name		F25	   F60		F100		F250	F350		F350_857	F500	F550_545	F850_353   F1400_217     E25        E60          E100            E250       E350         E350_857      E500        E550_545      E850_353     E1400_217		
    7926      3390.00      37110.0      85950.0      50260.7      19436.9      19555.2      6652.40      5838.57      1135.50      250.906      339.000      3711.00      8595.00      392.900      244.300      456.245      86.9000      180.220      105.701      67.5678
    7961      210.000      1100.00      2540.00      2086.30      1180.80      1667.82      582.100      478.979      117.484      76.0761      21.0000      110.000      254.000      1059.20      504.600      135.235      280.200      129.850      84.5603      43.5493
    7970      460.000      630.000      1890.00      4751.60      2385.30      2210.67      926.300      521.777      232.087     -70.5497      46.0000      63.0000      189.000      740.900      507.600      157.838      284.400      135.081      81.4842      48.5911
    7975      280.000      2690.00      6310.00      4037.80      2049.60      1996.87      922.600      576.682      196.040      61.6160      28.0000      269.000      631.000      469.900      231.600      129.649      160.000      105.228      130.788      61.4739
    7985      190.000      4300.00      10280.0      6677.80      2956.00      3094.22      1132.50      1056.37      111.871      78.1053      19.0000      430.000      1028.00      320.700      211.900      219.173      116.500      151.450      106.763      57.9398
    0.4731    180.000      2200.00      6620.00      7560.90      3932.60      3566.73      1807.70      1209.80      519.468      45.8195      18.0000      220.000      662.000      1022.60      903.900      140.748      362.600      100.021      113.387      66.7282
    8005      320.000      2200.00      5100.00      3409.50      1661.30      1820.00      684.300      768.293      22.1363     -31.5490      32.0000      220.000      510.000      516.900      179.100      109.989      113.100      82.8404      113.912      52.6074
    8009      290.000      2440.00      9000.00      6191.30      2604.10      2752.63      941.400      669.473      204.312      33.6345      29.0000      244.000      900.000      721.100      481.900      147.807      213.200      115.023      97.4867      44.3042
    8020      120.000      890.000      3880.00      4668.10      2209.50      2165.65      867.300      650.364      172.089     -57.5511      12.0000      89.0000      388.000      316.900      245.900      113.695      136.300      133.696      90.7825      75.4340
    8121      500.000      2900.00      7730.00      4560.10      2005.50      2016.90      762.900      801.934      12.9988      108.353      50.0000      290.000      773.000      367.600      177.900      115.484      67.1000      112.314      106.689      49.5732
    0.4941    530.000      1380.00      4190.00      5796.40      2612.20      2857.26      974.500      1072.66      246.319      9.91118      53.0000      138.000      419.000      380.300      258.700      133.965      94.5000      144.003      83.2692      33.2133
    8616      3020.00      20910.0      53480.0      38592.1      16063.4      16020.4      5780.30      4038.97      1066.96      274.822      302.000      2091.00      5348.00      1099.90      1263.10      400.907      405.200      114.502      97.8216      52.7654
    8711      270.000      2110.00      8600.00      7771.80      3625.60      3561.41      1478.20      897.384      326.775      80.2664      27.0000      211.000      860.000      324.400      243.000      115.678      82.9000      69.0536      43.6508      39.2510
    8727      290.000      930.000      3890.00      5013.40      2527.20      2332.87      1112.10      643.383      67.5101     -20.3797      29.0000      93.0000      389.000      775.900      394.400      184.822      189.000      128.873      110.256      44.4036
    8853      190.000      2270.00      12050.0      17630.3      8367.10      7945.94      3417.90      2678.45      500.010      120.951      19.0000      227.000      1205.00      1424.10      985.000      226.013      396.200      105.221      78.3232      52.0182
    9175      280.000      1070.00      5610.00      7760.50      3553.60      3850.62      1349.70      1028.94      293.491      40.9893      28.0000      107.000      561.000      631.400      433.000      255.292      210.700      131.054      100.476      58.1901
    9215      170.000      1150.00      2570.00      2033.70      1082.20      1193.24      482.200      736.038      166.530     -21.8956      17.0000      115.000      257.000      94.8000      115.000      142.728      55.6000      141.691      163.298      65.6450
    9353      120.000      1660.00      5190.00      5063.70      2585.80      2481.19      1127.90      1056.80      436.757      92.3428      12.0000      166.000      519.000      407.800      382.700      145.169      248.600      96.1587      96.5487      61.5968
    9363      180.000      2260.00      6400.00      6560.60      3425.30      3565.39      1528.40      1513.31      338.969      163.541      18.0000      226.000      640.000      767.300      400.100      198.571      146.100      142.545      124.822      80.0396
    9436      140.000      270.000      1360.00      3040.70      1692.20      1744.66      781.800      935.051      401.546      265.332      14.0000      27.0000      136.000      992.500      605.800      179.009      203.700      165.804      116.220      84.8365
