F03178-4946    49.85524  -49.59979   2     0.057     0.055     0.249     0.911  1  1  3  2       0.00    0.00    0.00    0.00    0.00   13.41   12.68   12.70    0.00    0.00    0.00    0.00    0.00    0.06    0.07    0.13   1         0.00000    0.00000   0.003429   5   0.000000   0.000000   0.004620   0.003429  4  0.00      3.821   0  -16.19    8.79    1.0000  0.0000  0.0000  0.0000    8.40    5.13    5.07    6.57       8.40    1        0.002  -1.62  -1.58  -0.60  -0.11  -0.05  -0.01  -0.01  -0.05  -0.37  -0.74  -1.21  -1.99  -2.59  -2.74   1      49.85135 -49.58715    1307.09     110.96      29.63      62.36     296.79      59.40     505.32      68.33 261.47177 -53.90308  0       0.773   G             IC 1914                   -9223372036854775808       03192525-4935592
F12352+0538   189.45160    5.36852   1     0.162     0.256     1.176     4.624  2  2  3  2      14.30   12.72   11.95   11.54   11.32    9.86    9.18    8.92    0.01    0.00    0.00    0.00    0.00    0.02    0.03    0.04   1         0.00000    0.00000   0.003449   5   0.010688   0.009041   0.004620   0.003449  6  0.00      0.543   2  -19.94   10.38    0.8500  0.1500  0.0000  0.0000    9.01    7.99    5.75    7.25       9.05    1        3.708  -0.98  -0.85   0.07   0.52   0.58   0.61   0.60   0.56   0.24  -0.13  -0.60  -1.38  -1.98  -2.14   1     189.45950   5.35922    1843.09     115.94     -41.58      54.96     110.88      79.59     504.00     128.91 293.86639  67.99127  0       0.731   G      GALAXY NGC 4580                    587729159500988440       12374839+0522063
F12221+3939   186.15169   39.38200   1     0.303     0.707     6.009    11.170  3  3  3  2      17.18   16.88   16.63   17.03   17.64    9.94    9.27    9.05    0.01    0.00    0.00    0.01    0.03    0.01    0.02    0.02   1        23.40000    1.10000   0.003486   5   0.006863   0.001100   0.004620   0.003486  5  0.00      0.773   1  -20.51   10.46    0.3500  0.6500  0.0000  0.0000    9.34    9.34    6.46    7.97       9.65    1        1.049  -0.43   0.00   0.78   1.02   1.05   1.07   1.02   0.97   0.62   0.24  -0.23  -1.01  -1.62  -1.77   1     186.14955  39.38248    1704.67     130.72      14.82      37.84     126.74      67.96     586.90     105.20 145.74886  76.53285  0       0.103   G      GALAXY NGC 4369                    587738946684190771       12243620+3922587
F03451-3351    56.77003  -33.70984   2     0.156     0.105     0.575     2.945  1  1  3  2       0.00    0.00    0.00    0.00    0.00    9.92    9.30    9.11    0.00    0.00    0.00    0.00    0.00    0.02    0.04    0.05   1         0.00000    0.00000   0.003602   5   0.000000   0.000000   0.004620   0.003602  5  0.00      0.787   0  -20.60   10.49    1.0000  0.0000  0.0000  0.0000    8.81    5.54    5.47    6.98       8.81    1        2.265  -1.25  -1.22  -0.24   0.25   0.32   0.36   0.35   0.31  -0.01  -0.38  -0.84  -1.62  -2.23  -2.38   1      56.76460 -33.71061    1940.94     184.34     -23.74      52.15      -1.45      70.17     739.77      79.66 233.86407 -51.85737  0       0.275   G             IC 1993                   -9223372036854775808       03470480-3342354
F13237+0221   201.58211    2.10076   2     0.190     0.447     2.787     7.162  1  1  3  2       0.00    0.00    0.00    0.00    0.00   10.78   10.22   10.01    0.00    0.00    0.00    0.00    0.00    0.03    0.04    0.06   1        25.20000    2.60000   0.003629   5   0.000000   0.000000   0.004620   0.003629  5  0.00      0.994   0  -19.75   10.16    0.6000  0.4000  0.0000  0.0000    9.28    8.84    6.16    7.67       9.41    1        0.002  -0.68  -0.40   0.45   0.80   0.85   0.88   0.86   0.81   0.48   0.11  -0.36  -1.14  -1.75  -1.90   1     201.58154   2.10094    2517.93     126.23      42.14      59.68     263.92     123.61     714.60     167.96 322.86890  63.61408  0       0.036   G             NGC 5147                  -9223372036854775808       13261970+0206027
F10518+1736   163.62303   17.34403   1     0.172     0.167     0.696     3.222  1  1  3  1      14.98   13.84   13.28   12.92   12.62   11.62   10.96   10.66    0.01    0.00    0.00    0.00    0.01    0.03    0.04    0.05   1         0.00000    0.00000   0.003673   5   0.000000   0.000000   0.004620   0.003673  6  0.00      0.158   0  -18.32    9.73    0.0000  1.0000  0.0000  0.0000    5.91    8.64    5.57    7.08       8.64    5       99.000  -1.52  -0.86  -0.16  -0.15  -0.18  -0.22  -0.37  -0.48  -0.95  -1.38  -1.89  -2.70  -3.33  -3.49   1     163.62651  17.32038    2298.97     219.71      48.03      48.17     179.67      62.44    1005.06     125.76 226.77721  61.30361  0       1.433   G      GALAXY NGC 3454                    587742775625580563       10542945+1720385
F11538+5524   179.11719   55.12524   1     0.507     0.834     6.567    15.230  3  3  3  2      13.47   12.21   11.60   11.30   11.11    9.84    9.17    8.92    0.00    0.00    0.00    0.00    0.00    0.01    0.02    0.02   1        56.40000    2.30000   0.003699   5   0.000000   0.000000   0.004620   0.003699  4  0.00      0.838   0  -19.93   10.29    0.6000  0.4000  0.0000  0.0000    9.67    9.22    6.55    8.06       9.80    1        0.154  -0.31  -0.02   0.82   1.17   1.22   1.25   1.23   1.18   0.85   0.48   0.01  -0.77  -1.37  -1.53   1     179.11031  55.12865    3466.06     115.72      97.59      46.79     139.22      61.36     894.77      84.75 138.83449  60.26905  0       0.312   G      GALAXY NGC 3982                    587731869633871916       11562816+5507313
F10042-2941   151.63882  -29.93537   2     0.200     0.791     5.042     5.134  3  3  3  2       0.00    0.00    0.00    0.00    0.00   11.54   10.97   10.69    0.00    0.00    0.00    0.00    0.00    0.03    0.04    0.06   1        26.60000    1.60000   0.003712   5   0.000000   0.000000   0.009250   0.003712  5  0.00      0.148   0  -19.04    9.87    0.0000  1.0000  0.0000  0.0000    6.78    9.51    6.44    7.94       9.51    2        0.460  -0.66   0.00   0.70   0.71   0.68   0.64   0.49   0.38  -0.09  -0.52  -1.03  -1.84  -2.47  -2.63   1     151.58936 -29.94761    4599.37     561.10      -7.44      32.42     420.88      93.35    1443.44     238.30 265.29797  20.60839  1       2.675   G             NGC 3125                  -9223372036854775808       10063331-2956073
F13092+3632   197.88106   36.28182   1     0.128     0.279     2.331     4.029  2  3  3  2      17.36   16.85   16.77   16.95   16.39   11.10   10.41   10.19    0.01    0.00    0.01    0.01    0.01    0.01    0.02    0.03   1        11.40000    0.50000   0.003756   5   0.012627   0.001520   0.004620   0.003756  4  0.00      0.928   1  -18.70    9.80    0.3500  0.6500  0.0000  0.0000    9.00    9.00    6.12    7.62       9.30    1        0.841  -0.84  -0.41   0.37   0.61   0.64   0.66   0.61   0.55   0.21  -0.17  -0.64  -1.42  -2.03  -2.18   1     197.86723  36.26983     851.42     135.36    -104.63      47.42    -116.97      90.98     124.12     106.31  99.22592  79.91853  0       0.982   G      GALAXY NGC 5014                    587739096994086936       13113119+3616556
F04155-6019    64.10226  -60.20684   2     0.388     0.647     5.597    12.620  3  3  3  2       0.00    0.00    0.00    0.00    0.00   10.12    9.46    9.22    0.00    0.00    0.00    0.00    0.00    0.01    0.02    0.03   1         0.00000    0.00000   0.003779   5   0.000000   0.000000   0.009250   0.003779  5  0.00      0.650   0  -20.50   10.46    0.6000  0.4000  0.0000  0.0000    9.62    9.17    6.50    8.01       9.75    1        0.434  -0.38  -0.09   0.75   1.10   1.15   1.18   1.16   1.11   0.78   0.41  -0.06  -0.84  -1.44  -1.60   1      64.10507 -60.20455    1816.08     103.45      37.28      39.57     133.27      77.55     330.05      78.19 271.35709 -42.26338  0       0.161   G             IC 2056                   -9223372036854775808       04162454-6012246
