Name,Redshift,[CII] e-17W/m^2,E[CII],F100_Jy,E100_Jy,F160_Jy,E160_Jy,F157_Jy,E157_Jy,F63_Jy,E63_Jy,F145_Jy,E145_Jy,F52_Jy,E52_Jy,F57_Jy,E57_Jy,F122_Jy,E122_Jy,F79_Jy,E79_Jy,F250_Jy,E250_Jy,F350_Jy,E350_Jy,F500_Jy,E500_Jy,F60_Jy,E60_Jy,F100_Jy,E100_Jy,F850_Jy,E850_Jy,F450_Jy,E450_Jy,F25_Jy,E25_Jy,F120_Jy,E120_Jy,F150_Jy,E150_Jy,F180_Jy,E180_Jy,F200_Jy,E200_Jy,F158_Jy,E158_Jy,F170_Jy,E170_Jy,F63_H_Jy,E63_H_Jy,F88_Jy,E88_Jy,F1300_Jy,E1300_Jy,F2000_Jy,E2000_Jy,Pred870
IRAS13451+1232,0.1217,4.48,0.21,2.0333448028,0.135072321,1.2985948981,0.065358263,1.2,0.59,2.46,0.78,1.21,0.42,,,,,1.43,0.11,,,0.5034,0.0049,0.2561,0.0043,0.1971,0.0055,2.098,0.315,2.06,0.185,0.105,0.011,,,0.667,0.0667,,,,,,,,,,,,,,,,,,,,,0.021681
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS14348-1447,0.0827,26.1,1.4,8.3331239114,0.5303833931,5.3361049657,0.3744367801,4.01,0.05,6.68,0.06,,,,,,,,,,,1.8421,0.0058,0.6655,0.0049,0.1973,0.0058,6.46,0.038,7.31,0.131,0.024,0.0072,0.21,0.063,0.56,0.083,6.66,2,5.61,1.68,3.76,1.13,2.69,0.81,,,,,,,,,,,,,0.021703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS14378-3651,0.0676,11.8,0.5,6.5430292621,0.5028080043,3.9095,0.1381,2.93,0.03,6.45,0.05,,,,,,,,,,,1.3304,0.005,0.4779,0.0047,0.1352,0.0058,6.72,0.042,8.08,0.215,,,,,0.67,0.038,5.9,1.78,3.6,1.1,2.8,0.84,2.45,0.75,,,,,,,,,,,,,0.014872
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS15250+3609,0.05516,11.1,0.6,5.6382542895,0.3626466668,3.0528518378,0.1527229454,2.1,0.03,6.99,0.04,,,,,,,,,,,0.9655,0.0041,0.3675,0.0038,0.1355,0.0045,7.268,0.364,5.907,0.295,0.033,0.008,0.252,0.086,1.28,0.026,4.16,1.25,2.37,0.711,1.6,0.48,1.16,0.348,4.4,1.6,3,1.5,,,,,,,,,0.014905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS15462-0450,0.09979,7.4,0.79,,,,,1.31,0.46,2.72,0.85,1.59,0.33,2.36,0.68,2.67,0.48,1.73,0.14,,,0.4917,0.0042,0.1616,0.0042,0.0503,0.0075,2.09,0.2,3,0.42,,,,,0.454,0.05,,,2.8,0.84,2.44,0.732,,,,,,,,,,,,,,,0.005533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS16090-0139,0.13358,9.54,1.2,,,,,2.14,0.63,4.13,0.95,2.92,0.36,,,,,3.22,0.14,,,1.0671,0.0044,0.4036,0.0039,0.1157,0.0048,3.609,0.144,4.874,0.487,,,,,0.264,0.032,4,1.2,2.75,0.825,2,0.6,1.21,0.363,,,,,,,,,,,,,0.012727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS17208-0014,0.0428,81.6,2.8,37.8721407013,2.4373484113,23.3026503484,1.1543708651,19.44,0.08,34.63,0.3,27,2.5,40.7,4.9,31.6,2.7,31.5,2.6,,,7.9181,0.0367,2.9532,0.0104,0.9535,0.009,32.13,0.057,36.08,0.555,0.155,0.048,1.07,0.3,1.61,0.029,30,9,23,6.9,17.5,5.25,12.5,3.75,24.3,2.9,26.4,3.2,41.9,3.9,48.5,4.9,,,,,0.104885
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS19254-7245,0.061709,31.37,1.92,6.1836159925,0.4086687398,4.3922351957,0.2178109882,,,,,,,,,,,,,,,1.5447,0.0052,0.587,0.0041,0.1854,0.0045,5.16,0.03,5.789,0.46,,,,,1.24,0.062,3.5,0.5,2.6,0.3,2.3,0.7,1.6,0.5,,,,,,,,,0.012,0.0036,,,0.020394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS19297-0406,0.08573,26.5,1.5,8.9839526973,0.567884925,5.7899912297,0.2885698884,4.23,0.05,7.23,0.07,,,,,,,,,,,2.0392,0.0059,0.752,0.0043,0.2443,0.0047,7.32,0.107,8.62,0.474,,,,,0.69,0.034,,,,,,,,,,,,,,,,,,,,,0.026873
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS20087-0308,0.10567,17.14,0.18,,,,,3.61,0.52,3.38,2,,,,,,,5.33,0.13,6.36,0.58,1.8036,0.0057,0.6865,0.0042,0.21,0.0048,4.7,0.28,6.536,0.523,,,,,0.243,0.041,5.96,1.8,4.05,1.2,2.95,0.89,2.3,0.7,,,,,,,,,,,,,0.0231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS20100-4156,0.12958,9.65,0.19,,,,,1.86,0.48,5.53,0.81,3.18,0.31,5.23,0.89,5.4,0.65,3.47,0.19,,,1.0009,0.0044,0.3494,0.004,0.1022,0.0047,5.19,0.04,5.165,0.362,,,,,0.3433,0.038,4.51,1.35,3.36,1,2.09,0.63,1.86,0.558,,,,,,,,,,,,,0.011242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
