 178.45592  52.32661 142.21567  62.59092   0.00000   0.00000       0.00       0.00   15000.16     626.75     216.71      42.10     815.86      62.86    4070.81     151.46      13892.31     683.86     239.00 0 N3953  0.003510
 179.70667  42.72353 153.98494  71.09072   0.00000   0.00000       0.00       0.00   10418.38     301.67     220.95      37.52     568.40      62.01    2823.66      87.41       9919.64     353.26     152.00 0 IC750  0.002337
 179.73679  30.41634 193.87718  78.04523   0.00000   0.00000       0.00       0.00    1059.86      89.72      95.61      33.15     176.14      66.93     328.96      83.47       1167.61     101.68     138.00 0 N4020  0.002535
 180.65578  41.04800 155.63077  72.83643   0.00000   0.00000       0.00       0.00    1003.01      89.94      65.00      37.10      93.32      54.92     430.39      64.39       1009.09      93.83     180.00 0 U7020  0.02045
 181.48840  43.16463 149.88797  71.50371   0.00000   0.00000       0.00       0.00    1461.57     115.24      24.07      52.61     154.45      66.80     620.58      72.20       1354.05      93.86     133.00 0 U7089 0.002568
 181.64618  39.26453 157.68839  74.68672   0.00000   0.00000       0.00       0.00    1478.03     140.00     -43.42      40.22     -11.26      82.36     387.63      84.85       1230.04     111.07     204.00 0 U7098  0.08663
 182.36992  43.68899 147.30725  71.39906   0.00000   0.00000       0.00       0.00    2608.41     128.64      -9.76      39.62     205.09      63.53     788.19      71.46       2269.06     104.30     128.00 0 N4138  0.002962
 182.50887  39.88371 154.26253  74.62426   0.00000   0.00000       0.00       0.00    5579.11     242.42     114.47      49.94     599.93      69.71    2256.65     101.26       5399.61     214.45     211.00 0 N4145 0.003366
 182.63570  39.41111 155.06464  75.05888   0.00000   0.00000       0.00       0.00    2520.52     170.39       7.13      39.25     168.57      61.44     755.81      80.95       2324.30     159.09     191.00 0 N4151  0.003319
 183.32100  43.70436 145.38737  71.72210   0.00000   0.00000       0.00       0.00    2312.13     135.01      84.53      34.99     269.02      69.95     955.71      73.74       2349.68     120.94     130.00 0 N4183 0.003102
 183.47331  13.17522 268.90469  73.51455   0.00000   0.00000       0.00       0.00    1996.16     153.65      15.46      45.99     143.45      97.36     694.51     107.56       2031.19     166.39     247.00 0 N4193  0.008272
 183.91043  36.32627 160.26440  78.07349   0.00000   0.00000       0.00       0.00    9259.95     286.26     213.76      59.71     870.67      43.21    3336.48     126.06       8617.65     302.24     154.00 0 N4214  0.000970
